YBR112C	YCR084C
YDL106C	YKR099W
YNR034W	YKL205W
YGL035C	YBR112C
YBR143C	YDR172W
YDR148C	YFL018C
YDR148C	YIL125W
YDR074W	YBR126C
YBR126C	YMR261C
YML100W	YBR126C
YMR261C	YDR074W
YML100W	YDR074W
YNL172W	YKL022C
YFR036W	YKL022C
YKL022C	YHR166C
YKL022C	YBL084C
YHR166C	YBL084C
YKL211C	YER090W
YJR109C	YOR303W
YML102W	YBR195C
YBR195C	YPR018W
YPR018W	YML102W
YGR274C	YER148W
YCR042C	YER148W
YNL259C	YDR270W
YNL039W	YER148W
YNL039W	YGR246C
YGR246C	YER148W
YBR010W	YLR442C
YLR442C	YNL030W
YDR227W	YBR010W
YDR227W	YNL030W
YLR442C	YDR227W
YNL216W	YLR442C
YDR225W	YLR442C
YLR442C	YDR224C
YDR227W	YNL216W
YDR227W	YDL042C
YDL077C	YDR080W
YLR433C	YKL190W
YML057W	YKL190W
YJL164C	YIL033C
YIL033C	YPL203W
YKL166C	YIL033C
YLR182W	YER111C
YPR119W	YER111C
YPL204W	YLR182W
YHR135C	YNL154C
YIL035C	YOR039W
YOR061W	YOR039W
YNL126W	YLR212C
YLR212C	YHR172W
YNL126W	YHR172W
YNL126W	YDR356W
YHR172W	YDR356W
YKL182W	YPL231W
YDR085C	YHR107C
YJL203W	YDL043C
YDL043C	YDL030W
YJL203W	YDL030W
YNL257C	YDR477W
YGL019W	YIL035C
YOR061W	YGL019W
YMR108W	YCL009C
YDR195W	YER032W
YDR477W	YDR422C
YLR240W	YBR097W
YLL011W	YDL014W
YGL086W	YGL116W
YJL030W	YGL116W
YJR086W	YOR212W
YHR005C	YOR212W
YLR178C	YJL061W
YGL172W	YLR178C
YJL140W	YDR404C
YLR293C	YDR002W
YNL189W	YOR098C
YLR335W	YNL189W
YOL108C	YDR123C
YMR198W	YPR141C
YDL106C	YFR034C
YDR356W	YBR109C
YBR119W	YLR223C
YBR119W	YLR449W
YNL227C	YBR119W
YBR119W	YML016C
YDR110W	YBR119W
YML016C	YIL061C
YIL061C	YDR110W
YIL061C	YAL047C
YCR101C	YIL061C
YIL061C	YFR039C
YGR203W	YIL061C
YLR017W	YIL061C
YLR213C	YIL061C
YMR009W	YIL061C
YIL061C	YMR044W
YLR153C	YIL061C
YIL061C	YNR016C
YNL199C	YIL061C
YIL061C	YHR079C
YBL063W	YIL061C
YIL061C	YFL016C
YLR439W	YIL061C
YIL061C	YHR023W
YER105C	YIL061C
YIL061C	YOR346W
YOL004W	YIL061C
YIL061C	YPL016W
YBR117C	YIL061C
YIL061C	YER172C
YIL061C	YBR112C
YIL061C	YPL215W
YIL061C	YDL013W
YER172C	YMR240C
YPL016W	YMR240C
YMR240C	YOR319W
YLR090W	YMR240C
YMR240C	YGL035C
YMR240C	YBR112C
YOR319W	YGR056W
YJR022W	YOR319W
YJR022W	YCR077C
YJR022W	YDR228C
YJR022W	YEL015W
YGL096W	YJR022W
YHR034C	YJR022W
YJR022W	YHR035W
YIL173W	YJR022W
YBR003W	YJR022W
YGL173C	YJR022W
YNR050C	YJR022W
YJR022W	YDR277C
YJR022W	YGR158C
YJR022W	YNL118C
YER112W	YJR022W
YJR022W	YNR053C
YLR116W	YER013W
YPL016W	YLR116W
YLR116W	YJR066W
YLR116W	YJR005W
YDL156W	YLR116W
YIL130W	YLR116W
YMR065W	YLR116W
YML046W	YLR116W
YLR116W	YBR172C
YPL105C	YLR116W
YBR172C	YKL074C
YPL105C	YKL074C
YLR116W	YKL074C
YML046W	YKL074C
YGL035C	YKL074C
YKL074C	YPL016W
YKL074C	YLR357W
YDL043C	YPL215W
YJL146W	YDL043C
YDL043C	YMR302C
YGR162W	YDL043C
YDL043C	YGL049C
YBR113W	YDL043C
YDR131C	YDL043C
YDL043C	YDR180W
YDL043C	YDR386W
YDR409W	YDL043C
YER113C	YDL043C
YDL043C	YKL155C
YLL014W	YDL043C
YDL043C	YNL023C
YNR053C	YDL043C
YNR053C	YJL203W
YJL203W	YOL136C
YDR170C	YJL203W
YJL203W	YCR081W
YHL007C	YJL203W
YBL067C	YJL203W
YJL203W	YBL101C
YKR090W	YJL203W
YJL203W	YMR285C
YJL203W	YOL091W
YLR067C	YJL203W
YKL205W	YGR074W
YGR074W	YDR389W
YGR074W	YDR088C
YGR074W	YBR043C
YGL202W	YGR074W
YGR074W	YJR033C
YGR074W	YKL188C
YLR440C	YGR074W
YHR107C	YLR147C
YLR147C	YIL139C
YLR430W	YLR147C
YLL021W	YLR147C
YER029C	YLR147C
YLR147C	YLR433C
YLR147C	YBR114W
YGR290W	YLR147C
YLR147C	YHR178W
YMR088C	YLR147C
YNR053C	YER029C
YDR422C	YER029C
YER029C	YLR220W
YNL187W	YER029C
YCL061C	YDL030W
YDR421W	YDL030W
YDL030W	YDR485C
YDL030W	YML049C
YOR023C	YDL030W
YDL030W	YOR191W
YDL030W	YPL146C
YDL013W	YDL030W
YDL030W	YNR053C
YDL030W	YOR017W
YDL030W	YML104C
YMR005W	YDL030W
YBR114W	YIR009W
YOR017W	YIR009W
YLR067C	YIR009W
YKR099W	YIR009W
YKL173W	YIR009W
YAL024C	YIR009W
YIR009W	YBR136W
YNL036W	YIR009W
YIR009W	YJL092W
YIR009W	YIL143C
YIR009W	YPL016W
YDL001W	YIR009W
YDR184C	YIR009W
YHR099W	YIR009W
YHR197W	YIR009W
YNL091W	YIR009W
YOR011W	YIR009W
YLR456W	YIR009W
YLR456W	YER032W
YLR456W	YIL144W
YKR084C	YLR456W
YLR456W	YNR053C
YLR178C	YFR002W
YDR477W	YGL115W
YJR022W	YBL026W
YNL050C	YJR022W
YLR178C	YGR119C
YIL061C	YOR275C
YOR319W	YHR209W
YDL161W	YLR116W
YKR080W	YLR147C
YLR433C	YIR009W
YJR022W	YOR076C
YDL043C	YMR117C
YBR275C	YNL216W
YLR362W	YDR103W
YDL159W	YDR103W
YBL016W	YDR103W
YDR103W	YGR040W
YLR362W	YGR040W
YBL016W	YLR362W
YGR040W	YDL159W
YDL159W	YBL016W
YHR084W	YGR040W
YLR362W	YCL032W
R0030W	YOR101W
R0030W	YOR351C
YOR351C	YOR101W
YCR084C	YCR096C
YJR045C	YIL022W
YIL022W	YOR232W
YJR045C	YOR232W
YOR212W	YDR103W
YGL208W	YDR477W
YJL089W	YDR477W
YCR088W	YDR388W
YNL138W	YCR088W
YMR092C	YFL039C
YFL039C	YDL178W
YFL039C	YLR319C
YOR122C	YFL039C
YNL138W	YFL039C
YFL039C	YCL040W
YFL039C	YDR382W
YFL039C	YCL027W
YFL039C	YBR200W
YBR200W	YHL007C
YLR229C	YNL271C
YNL271C	YFL039C
YNL271C	YLR319C
YFL039C	YLL050C
YOR181W	YFL039C
YOR181W	YDR129C
YOR181W	YIL034C
YLL050C	YOR181W
YBL007C	YOR181W
YOR181W	YBR200W
YOR122C	YNL271C
YOR122C	YIL159W
YIL159W	YKR055W
YOR122C	YOR363C
YNL271C	YPR165W
YFL039C	YHR023W
YDR129C	YFL039C
YNL243W	YFL039C
YLR337C	YFL039C
YDR448W	YDL165W
YDR448W	YDR176W
YDR176W	YER148W
YGR252W	YDR448W
YOL148C	YDR176W
YBL005W	YDR176W
YEL009C	YDR448W
YER148W	YDR448W
YPL248C	YML051W
YER148W	YPL248C
YPL248C	YGL048C
YPL248C	YDR448W
YEL009C	YHR041C
YER022W	YEL009C
YEL009C	YDR308C
YDR176W	YEL009C
YEL009C	YMR236W
YGL112C	YEL009C
YEL009C	YBR198C
YBR198C	YDR448W
YDR176W	YMR236W
YDR176W	YGL112C
YBR198C	YDR176W
YMR236W	YGR274C
YGR274C	YBR198C
YHR099W	YDR448W
YBR081C	YHR099W
YDR176W	YBR081C
YDR176W	YHR099W
YDR216W	YBR198C
YDR216W	YER148W
YGR274C	YDR216W
YGL112C	YDR216W
